"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 30 10:03:06 GMT 2022","Thu Jun 30 10:03:06 GMT 2022","537","","RegisterLoginPageTest","","RegisterLoginPageTest","acceptPrivacyTerms","Accept Terms and conditions","Click accept button on Terms and conditions window"
"passed","Thu Jun 30 10:01:13 GMT 2022","Thu Jun 30 10:01:17 GMT 2022","4822","","LandingPageTest","","LandingPageTest","logoutTest","Logout","Logout with logout button"
"passed","Thu Jun 30 10:01:43 GMT 2022","Thu Jun 30 10:01:47 GMT 2022","4696","","PortfolioPageTest","","PortfolioPageTest","contentValidation","Portfolio content validation","Validate the content of Osen Clock page"
"passed","Thu Jun 30 10:03:00 GMT 2022","Thu Jun 30 10:03:06 GMT 2022","5599","","RegisterLoginPageTest","","RegisterLoginPageTest","validRegistration","Valid registration","Registration with valid username, password, email, description"
"passed","Thu Jun 30 10:01:38 GMT 2022","Thu Jun 30 10:01:43 GMT 2022","4932","","PortfolioPageTest","","PortfolioPageTest","paginationTest","Pagination test","Count all of portfolios on Portfolio page with pagination"
"passed","Thu Jun 30 10:01:33 GMT 2022","Thu Jun 30 10:01:38 GMT 2022","4846","","ProfilePageTest","","ProfilePageTest","saveProfile","Save profile","Save profile"
"passed","Thu Jun 30 10:02:54 GMT 2022","Thu Jun 30 10:03:00 GMT 2022","6576","","RegisterLoginPageTest","","RegisterLoginPageTest","validLogin","Valid login","Login with valid username and password"
"failed","Thu Jun 30 10:01:17 GMT 2022","Thu Jun 30 10:01:22 GMT 2022","5006","","AboutPageTest","","AboutPageTest","saveCardNamesToFileTest","Names save to file","Save the names from name cards to file, read the file assert the content"
"passed","Thu Jun 30 10:02:53 GMT 2022","Thu Jun 30 10:02:54 GMT 2022","576","","RegisterLoginPageTest","","RegisterLoginPageTest","closePrivacyTerms","Close Terms and conditions","Close Terms and conditions window with close icon"
"passed","Thu Jun 30 10:01:27 GMT 2022","Thu Jun 30 10:01:33 GMT 2022","5841","","ProfilePageTest","","ProfilePageTest","deleteAccount","Delete account","Delete account"
"passed","Thu Jun 30 10:01:07 GMT 2022","Thu Jun 30 10:01:13 GMT 2022","5502","","LandingPageTest","","LandingPageTest","kioTapeViewProject","Get Kio-Tape from Landing Page","Navigate to Kio-Tape Brand Project page from Landing page and save content to file for assertion"
"failed","Thu Jun 30 10:03:06 GMT 2022","Thu Jun 30 10:03:12 GMT 2022","5552","","RegisterLoginPageTest","","RegisterLoginPageTest","registrationWithoutEmail","Registration without email","Registration with username and password without email"
"passed","Thu Jun 30 10:01:47 GMT 2022","Thu Jun 30 10:01:55 GMT 2022","7340","","ContactPageTest","","ContactPageTest","sendCompleteContactMessage","Complete contact message","Contact message with full infos"
"passed","Thu Jun 30 10:01:22 GMT 2022","Thu Jun 30 10:01:27 GMT 2022","4583","","AboutPageTest","","AboutPageTest","countNames","countNames()",""
"passed","Thu Jun 30 10:01:55 GMT 2022","Thu Jun 30 10:02:02 GMT 2022","7080","","ContactPageTest","","ContactPageTest","sendContactWithWrongEmail","Contact message wrong email address","Contact message full info, wrong email address"
"passed","Thu Jun 30 10:02:02 GMT 2022","Thu Jun 30 10:02:53 GMT 2022","51097","","RegisterLoginPageTest","","RegisterLoginPageTest","registerFromFile","Register from data file","Register from data file"
