"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 17:43:24 GMT 2022","Wed Jun 29 17:43:29 GMT 2022","4703","","LandingPageTest","","LandingPageTest","logoutTest","Logout","Logout with logout button"
"failed","Wed Jun 29 17:44:23 GMT 2022","Wed Jun 29 17:44:27 GMT 2022","4084","","RegisterLoginPageTest","","RegisterLoginPageTest","registerFromFile","Register from data file","Register from data file"
"failed","Wed Jun 29 17:44:34 GMT 2022","Wed Jun 29 17:44:40 GMT 2022","5552","","RegisterLoginPageTest","","RegisterLoginPageTest","validRegistration","Valid registration","Registration with valid username, password, email, description"
"passed","Wed Jun 29 17:43:40 GMT 2022","Wed Jun 29 17:43:44 GMT 2022","4705","","ProfilePageTest","","ProfilePageTest","saveProfile","Save profile","Save profile"
"passed","Wed Jun 29 17:43:19 GMT 2022","Wed Jun 29 17:43:24 GMT 2022","5397","","LandingPageTest","","LandingPageTest","kioTapeViewProject","Get Kio-Tape from Landing Page","Navigate to Kio-Tape Brand Project page from Landing page and save content to file for assertion"
"passed","Wed Jun 29 17:43:34 GMT 2022","Wed Jun 29 17:43:40 GMT 2022","5685","","ProfilePageTest","","ProfilePageTest","deleteAccount","Delete account","Delete account"
"passed","Wed Jun 29 17:44:28 GMT 2022","Wed Jun 29 17:44:34 GMT 2022","6410","","RegisterLoginPageTest","","RegisterLoginPageTest","validLogin","Valid login","Login with valid username and password"
"broken","Wed Jun 29 17:43:44 GMT 2022","Wed Jun 29 17:44:09 GMT 2022","24523","","PortfolioPageTest","","PortfolioPageTest","paginationTest","Pagination test","Count all of portfolios on Portfolio page with pagination"
"passed","Wed Jun 29 17:44:16 GMT 2022","Wed Jun 29 17:44:23 GMT 2022","6959","","ContactPageTest","","ContactPageTest","sendContactWithWrongEmail","Contact message wrong email address","Contact message full info, wrong email address"
"passed","Wed Jun 29 17:44:40 GMT 2022","Wed Jun 29 17:44:40 GMT 2022","578","","RegisterLoginPageTest","","RegisterLoginPageTest","acceptPrivacyTerms","Accept Terms and conditions","Click accept button on Terms and conditions window"
"failed","Wed Jun 29 17:43:29 GMT 2022","Wed Jun 29 17:43:34 GMT 2022","4809","","AboutPageTest","","AboutPageTest","saveCardNamesToFileTest","Names save to file","Save the names from name cards to file, read the file assert the content"
"passed","Wed Jun 29 17:44:40 GMT 2022","Wed Jun 29 17:44:46 GMT 2022","5597","","RegisterLoginPageTest","","RegisterLoginPageTest","registrationWithoutEmail","Registration without email","Registration with username and password without email"
"passed","Wed Jun 29 17:44:27 GMT 2022","Wed Jun 29 17:44:28 GMT 2022","581","","RegisterLoginPageTest","","RegisterLoginPageTest","closePrivacyTerms","Close Terms and conditions","Close Terms and conditions window with close icon"
"passed","Wed Jun 29 17:44:09 GMT 2022","Wed Jun 29 17:44:16 GMT 2022","7386","","ContactPageTest","","ContactPageTest","sendCompleteContactMessage","Complete contact message","Contact message with full infos"
