"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 18:38:30 GMT 2022","Sun Jul 03 18:38:30 GMT 2022","594","","RegisterLoginPageTest","","RegisterLoginPageTest","acceptPrivacyTerms","TC1 Accept Terms and conditions","TC1 - Click accept button on Terms and conditions window"
"passed","Sun Jul 03 18:36:46 GMT 2022","Sun Jul 03 18:36:51 GMT 2022","4775","","AboutPageTest","","AboutPageTest","countTitles","TC14 Count the titles","TC14 - Get the number of name card titles on page"
"passed","Sun Jul 03 18:38:24 GMT 2022","Sun Jul 03 18:38:30 GMT 2022","5608","","RegisterLoginPageTest","","RegisterLoginPageTest","validRegistration","TC3 Valid registration","TC3 - Registration with valid username, password, email, description"
"passed","Sun Jul 03 18:38:17 GMT 2022","Sun Jul 03 18:38:18 GMT 2022","590","","RegisterLoginPageTest","","RegisterLoginPageTest","closePrivacyTerms","TC2 Close Terms and conditions","TC2 - Close Terms and conditions window with close icon"
"failed","Sun Jul 03 18:38:30 GMT 2022","Sun Jul 03 18:38:36 GMT 2022","5736","","RegisterLoginPageTest","","RegisterLoginPageTest","registrationWithoutEmail","TC4 Registration without email","TC4 - Registration with username and password without email"
"passed","Sun Jul 03 18:36:56 GMT 2022","Sun Jul 03 18:37:02 GMT 2022","5039","","ProfilePageTest","","ProfilePageTest","saveProfile","TC15 Save profile","TC15 - Save profile"
"passed","Sun Jul 03 18:36:51 GMT 2022","Sun Jul 03 18:36:56 GMT 2022","5712","","ProfilePageTest","","ProfilePageTest","deleteAccount","TC16 Delete account","TC16 - Delete account"
"passed","Sun Jul 03 18:36:30 GMT 2022","Sun Jul 03 18:36:36 GMT 2022","5709","","LandingPageTest","","LandingPageTest","kioTapeViewProject","TC7 Get Kio-Tape from Landing Page","TC7 - Navigate to Kio-Tape Brand Project page from Landing page"
"passed","Sun Jul 03 18:37:07 GMT 2022","Sun Jul 03 18:37:11 GMT 2022","4805","","PortfolioPageTest","","PortfolioPageTest","contentValidation","TC12 Portfolio content validation","TC12 - Validate the content of Osen Clock page"
"passed","Sun Jul 03 18:37:02 GMT 2022","Sun Jul 03 18:37:07 GMT 2022","5005","","PortfolioPageTest","","PortfolioPageTest","paginationTest","TC11 Pagination test","TC11 - Count all of portfolios on Portfolio page with pagination"
"passed","Sun Jul 03 18:37:11 GMT 2022","Sun Jul 03 18:37:19 GMT 2022","7209","","ContactPageTest","","ContactPageTest","sendCompleteContactMessage","TC9 Complete contact message","TC9 - Contact message with full information"
"passed","Sun Jul 03 18:37:19 GMT 2022","Sun Jul 03 18:37:26 GMT 2022","7249","","ContactPageTest","","ContactPageTest","sendContactWithWrongEmail","TC10 Contact message wrong email address","TC10 - Contact message full information, wrong email address"
"passed","Sun Jul 03 18:36:41 GMT 2022","Sun Jul 03 18:36:46 GMT 2022","4940","","AboutPageTest","","AboutPageTest","saveCardNamesToFileTest","TC13 Names save to file","TC13 - Save the names from name cards to file, read the file assert the content"
"passed","Sun Jul 03 18:38:18 GMT 2022","Sun Jul 03 18:38:24 GMT 2022","6610","","RegisterLoginPageTest","","RegisterLoginPageTest","validLogin","TC5 Valid login","TC5 - Login with valid username, password and email"
"passed","Sun Jul 03 18:37:26 GMT 2022","Sun Jul 03 18:38:17 GMT 2022","51091","","RegisterLoginPageTest","","RegisterLoginPageTest","registerFromFile","TC6 Register from data file","TC6 - Register from data file"
"passed","Sun Jul 03 18:36:36 GMT 2022","Sun Jul 03 18:36:41 GMT 2022","4718","","LandingPageTest","","LandingPageTest","logoutTest","TC8 Logout","TC8 - Logout with logout button"
