"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 18:59:31 GMT 2022","Wed Jun 29 18:59:36 GMT 2022","4469","","LandingPageTest","","LandingPageTest","logoutTest","Logout","Logout with logout button"
"passed","Wed Jun 29 19:00:13 GMT 2022","Wed Jun 29 19:01:03 GMT 2022","50737","","RegisterLoginPageTest","","RegisterLoginPageTest","registerFromFile","Register from data file","Register from data file"
"failed","Wed Jun 29 19:01:16 GMT 2022","Wed Jun 29 19:01:21 GMT 2022","5453","","RegisterLoginPageTest","","RegisterLoginPageTest","registrationWithoutEmail","Registration without email","Registration with username and password without email"
"failed","Wed Jun 29 18:59:36 GMT 2022","Wed Jun 29 18:59:40 GMT 2022","4472","","AboutPageTest","","AboutPageTest","saveCardNamesToFileTest","Names save to file","Save the names from name cards to file, read the file assert the content"
"passed","Wed Jun 29 18:59:26 GMT 2022","Wed Jun 29 18:59:31 GMT 2022","4993","","LandingPageTest","","LandingPageTest","kioTapeViewProject","Get Kio-Tape from Landing Page","Navigate to Kio-Tape Brand Project page from Landing page and save content to file for assertion"
"passed","Wed Jun 29 18:59:55 GMT 2022","Wed Jun 29 18:59:59 GMT 2022","4303","","PortfolioPageTest","","PortfolioPageTest","contentValidation","Portfolio content validation","Validate the content of Osen Clock page"
"passed","Wed Jun 29 18:59:40 GMT 2022","Wed Jun 29 18:59:46 GMT 2022","5454","","ProfilePageTest","","ProfilePageTest","deleteAccount","Delete account","Delete account"
"passed","Wed Jun 29 18:59:46 GMT 2022","Wed Jun 29 18:59:50 GMT 2022","4519","","ProfilePageTest","","ProfilePageTest","saveProfile","Save profile","Save profile"
"passed","Wed Jun 29 18:59:59 GMT 2022","Wed Jun 29 19:00:06 GMT 2022","6658","","ContactPageTest","","ContactPageTest","sendCompleteContactMessage","Complete contact message","Contact message with full infos"
"passed","Wed Jun 29 19:00:06 GMT 2022","Wed Jun 29 19:00:13 GMT 2022","6713","","ContactPageTest","","ContactPageTest","sendContactWithWrongEmail","Contact message wrong email address","Contact message full info, wrong email address"
"passed","Wed Jun 29 18:59:50 GMT 2022","Wed Jun 29 18:59:55 GMT 2022","4459","","PortfolioPageTest","","PortfolioPageTest","paginationTest","Pagination test","Count all of portfolios on Portfolio page with pagination"
"passed","Wed Jun 29 19:01:04 GMT 2022","Wed Jun 29 19:01:10 GMT 2022","6299","","RegisterLoginPageTest","","RegisterLoginPageTest","validLogin","Valid login","Login with valid username and password"
"passed","Wed Jun 29 19:01:03 GMT 2022","Wed Jun 29 19:01:04 GMT 2022","490","","RegisterLoginPageTest","","RegisterLoginPageTest","closePrivacyTerms","Close Terms and conditions","Close Terms and conditions window with close icon"
"passed","Wed Jun 29 19:01:10 GMT 2022","Wed Jun 29 19:01:15 GMT 2022","5421","","RegisterLoginPageTest","","RegisterLoginPageTest","validRegistration","Valid registration","Registration with valid username, password, email, description"
"passed","Wed Jun 29 19:01:15 GMT 2022","Wed Jun 29 19:01:16 GMT 2022","522","","RegisterLoginPageTest","","RegisterLoginPageTest","acceptPrivacyTerms","Accept Terms and conditions","Click accept button on Terms and conditions window"
