"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 15:21:44 GMT 2022","Wed Jun 29 15:21:45 GMT 2022","558","","RegisterLoginPageTest","","RegisterLoginPageTest","closePrivacyTerms","Close Terms and conditions","Close Terms and conditions window with close icon"
"passed","Wed Jun 29 15:22:16 GMT 2022","Wed Jun 29 15:22:16 GMT 2022","543","","RegisterLoginPageTest","","RegisterLoginPageTest","acceptPrivacyTerms","Accept Terms and conditions","Click accept button on Terms and conditions window"
"broken","Wed Jun 29 15:19:18 GMT 2022","Wed Jun 29 15:19:44 GMT 2022","26040","","PortfolioPageTest","","PortfolioPageTest","paginationTest","Pagination test","Count all of portfolios on Portfolio page with pagination"
"broken","Wed Jun 29 15:19:18 GMT 2022","Wed Jun 29 15:19:44 GMT 2022","26114","","AboutPageTest","","AboutPageTest","saveCardNamesToFileTest","Names save to file","Save the names from name cards to file, read the file assert the content"
"skipped","Wed Jun 29 15:21:44 GMT 2022","Wed Jun 29 15:21:44 GMT 2022","0","","RegisterLoginPageTest","","RegisterLoginPageTest","registerFromFile","Register from data file","Register from data file"
"broken","Wed Jun 29 15:19:45 GMT 2022","Wed Jun 29 15:20:08 GMT 2022","23963","","LandingPageTest","","LandingPageTest","logoutTest","Logout","Logout with logout button"
"passed","Wed Jun 29 15:22:11 GMT 2022","Wed Jun 29 15:22:16 GMT 2022","5360","","RegisterLoginPageTest","","RegisterLoginPageTest","validRegistration","Valid registration","Registration with valid username, password, email, description"
"broken","Wed Jun 29 15:20:56 GMT 2022","Wed Jun 29 15:21:20 GMT 2022","23845","","ContactPageTest","","ContactPageTest","sendCompleteContactMessage","Complete contact message","Contact message with full infos"
"broken","Wed Jun 29 15:20:08 GMT 2022","Wed Jun 29 15:20:32 GMT 2022","23925","","ProfilePageTest","","ProfilePageTest","deleteAccount","Delete account","Delete account"
"broken","Wed Jun 29 15:21:20 GMT 2022","Wed Jun 29 15:21:44 GMT 2022","23889","","ContactPageTest","","ContactPageTest","sendContactWithWrongEmail","Contact message wrong email address","Contact message full info, wrong email address"
"broken","Wed Jun 29 15:20:32 GMT 2022","Wed Jun 29 15:20:56 GMT 2022","23859","","ProfilePageTest","","ProfilePageTest","saveProfile","Save profile","Save profile"
"broken","Wed Jun 29 15:21:45 GMT 2022","Wed Jun 29 15:22:11 GMT 2022","25913","","RegisterLoginPageTest","","RegisterLoginPageTest","validLogin","Valid login","Login with valid username and password"
"failed","Wed Jun 29 15:22:16 GMT 2022","Wed Jun 29 15:22:22 GMT 2022","5331","","RegisterLoginPageTest","","RegisterLoginPageTest","registrationWithoutEmail","Registration without email","Registration with username and password without email"
"broken","Wed Jun 29 15:19:18 GMT 2022","Wed Jun 29 15:19:44 GMT 2022","26169","","LandingPageTest","","LandingPageTest","kioTapeViewProject","Get Kio-Tape from Landing Page","Navigate to Kio-Tape Brand Project page from Landing page and save content to file for assertion"
